"tconst","averageRating","numVotes"
"tt10107884",5.6,15
"tt10110244",8.8,760
"tt10110314",7.8,9
"tt10110350",8.9,1804
"tt10111456",8.7,8
"tt10112036",7.1,261
"tt10112054",4.9,16
"tt10112084",7.5,15
"tt10112178",7.3,13
"tt10112282",6.9,761
"tt10112506",6.8,268
"tt10115054",7.7,398
"tt10115372",3.7,18
"tt10115958",6.6,10
"tt10116578",9.8,1807
"tt10116944",7,122
"tt10117704",8.2,5
"tt10117896",7.2,32
"tt10118294",5.2,30
"tt10118590",7.1,293
"tt10118986",6.8,5
"tt10119178",8.9,16
"tt10119462",6,30
"tt10119538",9.5,20
"tt10119542",4.8,152
"tt10120734",4.3,173
"tt10120950",7.6,8
"tt10121208",7.6,36
"tt10121228",9,80
"tt10121290",7.3,27
"tt10121414",8.7,7
"tt10121738",7,136
"tt10121784",7.8,35
"tt10121834",8.7,9
"tt10122366",7.7,334
"tt10122474",6.7,2284
"tt10122594",5.6,102
"tt10122600",7.2,17
"tt10122614",7.8,7
"tt10122670",4.1,45
"tt10122686",8.1,87
"tt10122710",3.3,210
"tt10122814",8.1,82
"tt10124256",7.3,27
"tt10124626",5.6,11
"tt10125268",4.7,85
"tt10125304",8.9,17
"tt10126500",7,112
"tt10126744",9.8,5
"tt10126758",6.4,7
"tt10127374",6,5
"tt10127402",4,8
"tt10127422",6.1,64
"tt10127582",7.3,9
"tt10127614",9.3,7
"tt10127702",8.5,15
"tt10127726",7,73
"tt10127740",9.1,26
"tt10127754",5.5,39
"tt10127968",9,5
"tt10128042",9.2,24
"tt10128078",7.5,6
"tt10128098",2,172
"tt10128100",5.7,25
"tt10128152",4.3,79
"tt10130702",5.8,59
"tt10130892",9.2,10
"tt10130906",8.5,6
"tt10130970",7.2,17
"tt10132306",6,5
"tt10132320",7.4,681
"tt10132406",6.8,90
"tt10132506",8.9,30
"tt10132798",6.7,7
"tt10132842",8.5,14
"tt10132918",7.7,220
"tt10132958",7.1,162
"tt10133044",6.1,37
"tt10133046",9.3,15
"tt10133226",7.2,1221
"tt10133318",5.4,1551
"tt10133336",6.8,207
"tt10133366",5.5,51
"tt10133370",6.9,535
"tt10133388",6.6,105
"tt10133418",7.9,18
"tt10133864",5.3,269
"tt10135066",9.1,16
"tt10135238",4.2,5
"tt10135288",8.1,90
"tt10136218",7.4,8
"tt10136326",7.7,30
"tt10136656",7.7,7
"tt10137936",4,5
"tt10138386",7.4,54
"tt10139982",2.9,82
"tt10140028",6.7,6105
"tt10140430",7.5,12
"tt10141010",7.9,53
"tt10141052",7.6,52
"tt10141612",7.3,82
"tt10141742",7.6,191
"tt10144220",4.7,14
"tt10145050",7,13
"tt10145110",4.8,451
"tt10145270",8,48
"tt10146162",8.9,181
"tt10147230",5.4,15
"tt10147542",8.5,26
"tt10147614",6.5,146
"tt10147664",8,8
